transaction_id,cust_id,tran_date,sub_category,category,Qty,Rate,Tax,total_amt,Store_type
55245382907,270810,12/2/2014,Audio and video,Electronics,2,979,205.59,2163.59,TeleShop
74023090711,271180,12/2/2014,Audio and video,Electronics,3,271,85.365,898.365,Flagship store
69329009642,273799,12/2/2014,Audio and video,Electronics,1,357,37.485,394.485,TeleShop
83661978186,274678,12/2/2014,Audio and video,Electronics,2,325,68.25,718.25,e-Shop
32636903929,270875,11/2/2014,Audio and video,Electronics,-2,-316,66.36,-698.36,e-Shop
77013937426,274781,11/2/2014,Audio and video,Electronics,1,588,61.74,649.74,TeleShop
46596657080,270631,10/2/2014,Audio and video,Electronics,1,906,95.13,1001.13,TeleShop
59105495602,268995,10/2/2014,Audio and video,Electronics,4,479,201.18,2117.18,Flagship store
81261371045,273625,10/2/2014,Audio and video,Electronics,2,815,171.15,1801.15,MBR
88990481317,273646,10/2/2014,Audio and video,Electronics,1,239,25.095,264.095,MBR
97048148140,268101,10/2/2014,Audio and video,Electronics,4,1456,611.52,6435.52,Flagship store
80509578375,273454,10/2/2014,Audio and video,Electronics,3,771,242.86,2555.865,e-Shop
4346259881,269947,9/2/2014,Audio and video,Electronics,5,857,449.92,4734.925,TeleShop
39579115484,267463,9/2/2014,Audio and video,Electronics,3,815,256.72,2701.725,MBR
8378457026,273358,9/2/2014,Audio and video,Electronics,5,494,259.35,2729.35,e-Shop
75768838702,269808,9/2/2014,Audio and video,Electronics,3,1381,435.01,4578.015,TeleShop
78615435064,270111,9/2/2014,Audio and video,Electronics,2,1069,224.49,2362.49,Flagship store
6002148986,268402,8/2/2014,Audio and video,Electronics,3,537,169.15,1780.155,Flagship store
90855483222,274895,8/2/2014,Audio and video,Electronics,1,372,39.06,411.06,Flagship store
68620999310,273660,8/2/2014,Audio and video,Electronics,4,1202,504.84,5312.84,e-Shop
90375459981,269269,8/2/2014,Audio and video,Electronics,4,232,97.44,1025.44,e-Shop
93868053857,270042,8/2/2014,Audio and video,Electronics,5,1393,731.32,7696.325,e-Shop
3030817826,269741,7/2/2014,Audio and video,Electronics,1,493,51.765,544.765,e-Shop
85541056281,273367,7/2/2014,Audio and video,Electronics,5,303,159.07,1674.075,MBR
52563546033,270178,6/2/2014,Audio and video,Electronics,5,733,384.82,4049.825,TeleShop
16495297625,270148,5/2/2014,Audio and video,Electronics,4,998,419.16,4411.16,Flagship store
34370573493,269370,5/2/2014,Audio and video,Electronics,2,83,17.43,183.43,MBR
94902984271,270831,5/2/2014,Audio and video,Electronics,-5,-1221,641.02,-6746.025,Flagship store
38796532648,268931,4/2/2014,Audio and video,Electronics,5,1076,564.9,5944.9,Flagship store
32815955218,275225,4/2/2014,Audio and video,Electronics,4,370,155.4,1635.4,MBR
73384846911,273877,4/2/2014,Audio and video,Electronics,-3,-97,30.555,-321.555,Flagship store
27482838740,268569,3/2/2014,Audio and video,Electronics,4,844,354.48,3730.48,MBR
36980780606,269537,3/2/2014,Audio and video,Electronics,4,859,360.78,3796.78,e-Shop
6194846096,270044,3/2/2014,Audio and video,Electronics,5,309,162.22,1707.225,Flagship store
41630872980,269697,3/2/2014,Audio and video,Electronics,5,1163,610.57,6425.575,TeleShop
39269527891,274811,3/2/2014,Audio and video,Electronics,5,1376,722.4,7602.4,e-Shop
39331157930,273081,3/2/2014,Audio and video,Electronics,3,905,285.07,3000.075,e-Shop
4295223327,272031,3/2/2014,Audio and video,Electronics,4,527,221.34,2329.34,Flagship store
91386723763,269188,3/2/2014,Audio and video,Electronics,3,736,231.84,2439.84,TeleShop
73384846911,273877,3/2/2014,Audio and video,Electronics,3,97,30.555,321.555,Flagship store
69670072494,267594,3/2/2014,Audio and video,Electronics,-1,-176,18.48,-194.48,MBR
11737727324,272392,2/2/2014,Audio and video,Electronics,-4,-402,168.84,-1776.84,MBR
87197016917,268736,2/2/2014,Audio and video,Electronics,-4,-461,193.62,-2037.62,Flagship store
32636903929,270875,1/2/2014,Audio and video,Electronics,2,316,66.36,698.36,e-Shop
11640587371,274653,1/2/2014,Audio and video,Electronics,1,978,102.69,1080.69,e-Shop
1061032496,272607,1/2/2014,Audio and video,Electronics,5,924,485.1,5105.1,MBR
23986203278,271986,1/2/2014,Audio and video,Electronics,3,1128,355.32,3739.32,e-Shop
85730195332,271596,1/2/2014,Audio and video,Electronics,4,549,230.58,2426.58,e-Shop
16935577825,267500,12/1/2014,Audio and video,Electronics,4,1035,434.7,4574.7,Flagship store
60808372174,269393,12/1/2014,Audio and video,Electronics,5,124,65.1,685.1,TeleShop
60107203818,270865,11/1/2014,Audio and video,Electronics,1,659,69.195,728.195,TeleShop
44342529860,271821,11/1/2014,Audio and video,Electronics,4,1273,534.66,5626.66,MBR
80736583665,273698,11/1/2014,Audio and video,Electronics,1,1485,155.92,1640.925,TeleShop
77192095651,270050,11/1/2014,Audio and video,Electronics,1,981,103,1084.005,MBR
34807753571,269996,10/1/2014,Audio and video,Electronics,1,421,44.205,465.205,TeleShop
45877126217,267781,9/1/2014,Audio and video,Electronics,2,1364,286.44,3014.44,Flagship store
19902456375,267511,9/1/2014,Audio and video,Electronics,3,241,75.915,798.915,TeleShop
19411679647,272711,9/1/2014,Audio and video,Electronics,4,975,409.5,4309.5,TeleShop
63749791262,270262,9/1/2014,Audio and video,Electronics,2,1342,281.82,2965.82,MBR
94106922862,267265,9/1/2014,Audio and video,Electronics,5,303,159.07,1674.075,MBR
55385443376,269300,8/1/2014,Audio and video,Electronics,3,1126,354.69,3732.69,e-Shop
40932345719,267344,8/1/2014,Audio and video,Electronics,4,793,333.06,3505.06,TeleShop
29147054949,275082,7/1/2014,Audio and video,Electronics,4,1044,438.48,4614.48,Flagship store
38712705363,273973,7/1/2014,Audio and video,Electronics,1,526,55.23,581.23,TeleShop
67262335598,271722,7/1/2014,Audio and video,Electronics,1,1414,148.47,1562.47,Flagship store
64027031365,271406,7/1/2014,Audio and video,Electronics,4,1011,424.62,4468.62,e-Shop
74634203248,274243,7/1/2014,Audio and video,Electronics,4,1014,425.88,4481.88,TeleShop
90027771251,273237,7/1/2014,Audio and video,Electronics,3,941,296.41,3119.415,e-Shop
54391762918,271692,6/1/2014,Audio and video,Electronics,3,967,304.6,3205.605,TeleShop
38555542810,269935,6/1/2014,Audio and video,Electronics,2,189,39.69,417.69,e-Shop
